,0,,,
0,062.Herring_Gull,,,062
1,062.Herring_Gull,,,062
2,062.Herring_Gull,,,062
3,062.Herring_Gull,,,062
4,062.Herring_Gull,,,062
5,062.Herring_Gull,,,062
6,062.Herring_Gull,,,062
7,062.Herring_Gull,,,062
8,062.Herring_Gull,,,062
9,062.Herring_Gull,,,062
10,062.Herring_Gull,,,062
11,062.Herring_Gull,,,062
12,062.Herring_Gull,,,062
13,062.Herring_Gull,,,062
14,062.Herring_Gull,,,062
15,062.Herring_Gull,,,062
16,062.Herring_Gull,,,062
17,062.Herring_Gull,,,062
18,062.Herring_Gull,,,062
19,062.Herring_Gull,,,062
20,062.Herring_Gull,,,062
21,062.Herring_Gull,,,062
22,062.Herring_Gull,,,062
23,062.Herring_Gull,,,062
24,062.Herring_Gull,,,062
25,062.Herring_Gull,,,062
26,062.Herring_Gull,,,062
27,062.Herring_Gull,,,062
28,062.Herring_Gull,,,062
29,062.Herring_Gull,,,062
30,013.Bobolink,,,013
31,013.Bobolink,,,013
32,013.Bobolink,,,013
33,013.Bobolink,,,013
34,013.Bobolink,,,013
35,013.Bobolink,,,013
36,013.Bobolink,,,013
37,013.Bobolink,,,013
38,013.Bobolink,,,013
39,013.Bobolink,,,013
40,013.Bobolink,,,013
41,013.Bobolink,,,013
42,013.Bobolink,,,013
43,013.Bobolink,,,013
44,013.Bobolink,,,013
45,013.Bobolink,,,013
46,013.Bobolink,,,013
47,013.Bobolink,,,013
48,013.Bobolink,,,013
49,013.Bobolink,,,013
50,013.Bobolink,,,013
51,013.Bobolink,,,013
52,013.Bobolink,,,013
53,013.Bobolink,,,013
54,013.Bobolink,,,013
55,013.Bobolink,,,013
56,013.Bobolink,,,013
57,013.Bobolink,,,013
58,013.Bobolink,,,013
59,013.Bobolink,,,013
60,027.Shiny_Cowbird,,,027
61,027.Shiny_Cowbird,,,027
62,027.Shiny_Cowbird,,,027
63,027.Shiny_Cowbird,,,027
64,027.Shiny_Cowbird,,,027
65,027.Shiny_Cowbird,,,027
66,027.Shiny_Cowbird,,,027
67,027.Shiny_Cowbird,,,027
68,027.Shiny_Cowbird,,,027
69,027.Shiny_Cowbird,,,027
